time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.mlp_up_proj.min,time_stats.mlp_up_proj.max,time_stats.mlp_up_proj.mean,time_stats.mlp_up_proj.median,time_stats.mlp_up_proj.std,time_stats.mlp_act.min,time_stats.mlp_act.max,time_stats.mlp_act.mean,time_stats.mlp_act.median,time_stats.mlp_act.std,time_stats.mlp_down_proj.min,time_stats.mlp_down_proj.max,time_stats.mlp_down_proj.mean,time_stats.mlp_down_proj.median,time_stats.mlp_down_proj.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,use_gated_mlp,num_tokens,num_tensor_parallel_workers
0.156,0.159,0.1573333333333333,0.157,0.0007766431633476,0.136,0.138,0.13695,0.137,0.0004974937185533,3.9713999999999996,4.0834,4.0295700000000005,4.0232,0.0205291865401432,0.193,0.195,0.1939,0.194,0.0007681145747868,1.3435999999999997,1.3701999999999999,1.35242,1.3505999999999998,0.005675385449465,0.136,0.138,0.1368,0.137,0.0005099019513592,7.1941999999999995,7.4112,7.30641,7.286600000000001,0.0419002088300285,0.5372,0.5386,0.5385300000000002,0.5386,0.000217944947177,3.4996,3.5724,3.5176599999999993,3.5052,0.0162200493217499,0.134,0.136,0.1349999999999999,0.135,0.0007071067811865,32,32,4096,11008,32768,True,3168,1
0.154,0.158,0.156095238095238,0.156,0.0012688488185213,0.135,0.139,0.13695,0.137,0.000920597631976,3.9728,4.1324000000000005,4.02698,4.0281,0.0269427170122094,0.191,0.193,0.1921,0.192,0.0007,1.3309999999999997,1.3715999999999997,1.3550099999999998,1.3561999999999999,0.0090899669966397,0.135,0.138,0.1368,0.137,0.0007483314773547,7.145199999999999,7.3873999999999995,7.27729,7.3013,0.0508854350477619,0.5329999999999999,0.5344,0.5337,0.5337,0.0005,3.4687999999999994,3.5738,3.52942,3.5366999999999997,0.0221745349443906,0.133,0.136,0.1337499999999999,0.133,0.0009420721840708,32,32,4096,11008,32768,True,3136,1
0.151,0.156,0.1541428571428571,0.154,0.0012453996981544,0.133,0.135,0.1337999999999999,0.134,0.0006,3.9672,4.0792,4.023620000000001,4.026,0.0245114259071152,0.189,0.192,0.19005,0.19,0.0009733961166965,1.3281999999999998,1.3701999999999999,1.3526299999999998,1.3547999999999998,0.0095575886080119,0.132,0.135,0.1340999999999999,0.134,0.0008306623862918,7.1788,7.4028,7.28933,7.3013,0.040219988811535,0.5259999999999999,0.5302,0.52803,0.5274,0.0006689544080129,3.4673999999999996,3.571,3.520529999999999,3.5359999999999996,0.025092777845428,0.131,0.133,0.13215,0.132,0.0006538348415311,32,32,4096,11008,32768,True,3104,1
0.15,0.155,0.1529523809523809,0.153,0.0009988655696858,0.131,0.135,0.1334,0.1335,0.0008602325267042,3.788,3.9139999999999997,3.86899,3.8733999999999997,0.0222019706332568,0.187,0.19,0.18805,0.188,0.0008046738469715,1.3183999999999998,1.3729999999999998,1.3580199999999998,1.3575999999999997,0.0080876448982382,0.132,0.135,0.13385,0.134,0.0007262919523166,6.882,7.2459999999999996,7.06701,7.073100000000001,0.0584715956683242,0.5217999999999999,0.5246,0.5232,0.5232,0.0006324555320336,3.4366,3.5738,3.52697,3.5373999999999994,0.025014945532621,0.127,0.129,0.1281,0.128,0.0005385164807134,32,32,4096,11008,32768,True,3072,1
0.149,0.154,0.1518095238095238,0.152,0.0012196427118919,0.132,0.134,0.1333,0.1335,0.0007810249675906,3.8383999999999996,3.9266,3.8777399999999993,3.8782999999999994,0.018822592807581,0.185,0.187,0.1856,0.186,0.0005830951894845,1.3323999999999998,1.3855999999999997,1.3613799999999998,1.3659999999999999,0.0095241797547085,0.131,0.134,0.13335,0.1335,0.0007921489758877,6.887600000000001,7.1802,7.03831,7.049300000000001,0.047362722683562,0.5162,0.5204,0.5181599999999998,0.5176,0.0007348469228349,3.4687999999999994,3.6087999999999996,3.54097,3.5472,0.0280186991132707,0.126,0.128,0.12655,0.1265,0.0005894913061275,32,32,4096,11008,32768,True,3040,1
0.148,0.152,0.1502380952380952,0.15,0.0012307474269828,0.129,0.131,0.1301,0.13,0.0007681145747868,3.7754,3.9237999999999995,3.8538699999999997,3.8537999999999992,0.0269192774791597,0.182,0.185,0.1833499999999999,0.183,0.0006538348415311,1.3281999999999998,1.3841999999999999,1.3563399999999997,1.3561999999999999,0.0104302444841911,0.129,0.132,0.13035,0.13,0.0007921489758877,6.8553999999999995,7.1494,7.00737,6.9883999999999995,0.0544302076057037,0.5105999999999999,0.5147999999999999,0.51242,0.512,0.0007810249675906,3.4673999999999996,3.6073999999999997,3.53159,3.5359999999999996,0.0270541586452065,0.124,0.126,0.1249,0.125,0.0005385164807134,32,32,4096,11008,32768,True,3008,1
0.146,0.151,0.1478095238095237,0.148,0.0013669238185149,0.128,0.132,0.1297999999999999,0.13,0.0008717797887081,3.7935999999999996,3.9237999999999995,3.8423199999999995,3.8426,0.0229621427571557,0.18,0.183,0.1813,0.181,0.0007810249675906,1.3281999999999998,1.3827999999999998,1.3495499999999996,1.3484999999999998,0.008619019665832,0.129,0.131,0.12985,0.13,0.0004769696007084,6.903,7.148000000000001,6.99141,6.9709,0.0481022608616269,0.505,0.5077999999999999,0.5066799999999998,0.5064,0.0006,3.4659999999999997,3.571,3.5103099999999996,3.5017,0.0219095298899817,0.123,0.125,0.1238,0.124,0.0006782329983125,32,32,4096,11008,32768,True,2976,1
0.144,0.149,0.1466190476190475,0.147,0.0011741740958036,0.127,0.13,0.129,0.129,0.0006324555320336,3.7095999999999996,3.8215999999999997,3.7714799999999995,3.7698,0.0212640541760031,0.178,0.18,0.179,0.179,0.0006324555320336,1.1755999999999998,1.2147999999999999,1.1996099999999996,1.2042999999999997,0.0069373986479083,0.127,0.13,0.1293,0.129,0.0007810249675906,6.6244,6.9478,6.76216,6.7672,0.0657581934058409,0.49939999999999996,0.5022,0.50164,0.5022,0.0005830951894845,3.4324,3.5724,3.5175899999999993,3.5345999999999997,0.0255230777924606,0.122,0.124,0.1224999999999999,0.122,0.0005916079783099,32,32,4096,11008,32768,True,2944,1
0.142,0.146,0.144,0.144,0.0011126972805283,0.125,0.127,0.1258999999999999,0.126,0.0007681145747868,3.7152,3.7922,3.7413799999999995,3.7306,0.0189976314313126,0.176,0.178,0.17705,0.177,0.0005894913061275,1.1671999999999998,1.1951999999999998,1.1824599999999998,1.1861,0.0077903786814249,0.124,0.127,0.1258,0.126,0.0008124038404635,6.574000000000001,6.8386000000000005,6.70609,6.7,0.0540964647643448,0.4951999999999999,0.49659999999999993,0.49561999999999984,0.4951999999999999,0.0004582575694955,3.4295999999999993,3.5345999999999997,3.4795800000000012,3.4688000000000003,0.0191940094821274,0.12,0.122,0.121,0.121,0.0006324555320336,32,32,4096,11008,32768,True,2912,1
0.141,0.145,0.1434285714285714,0.144,0.0010033955955097,0.124,0.127,0.1259499999999999,0.126,0.0006689544080129,3.6717999999999993,3.7935999999999996,3.7382299999999993,3.7382999999999997,0.0196531804041992,0.174,0.177,0.17475,0.175,0.0006982120021884,1.1685999999999999,1.2106,1.1918399999999996,1.1965999999999999,0.0065375836514724,0.125,0.127,0.1262,0.126,0.0006782329983125,6.5404,6.8596,6.7014700000000005,6.7077,0.0534812817722238,0.4881999999999999,0.49239999999999995,0.49072,0.49099999999999994,0.0006,2.9479999999999995,3.0376,3.0159,3.0229,0.0176932190400729,0.123,0.125,0.1242,0.124,0.0006,32,32,4096,11008,32768,True,2880,1
